Solvent Name,Energy,Free Energy,JobID,SMILES,Solvent Inchi,deltaG_Sol-Wat(kcal/mol),logP at 25C
1-CHLOROPROPANE,-76.4333555,-76.43006454, job_15 ,CCCCl,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",3.971906066753676,-2.9112020632808724
METHYL BENZOATE,-76.43337926,-76.43008051, job_136 ,COC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",3.961884748028289,-2.903856954091524
2-CHLOROBUTANE,-76.43338116,-76.4300904, job_39 ,CCC(C)Cl,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",3.95567868401755,-2.8993082296128296
METHYL BUTANOATE,-76.43340071,-76.43009559, job_137 ,CCCC(=O)OC,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",3.9524219123100655,-2.89692118410996
DIMETHYL DISULFIDE,-76.4334036,-76.43011562, job_109 ,CSSC,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,3.9398529070389827,-2.8877087522287423
DIPROPYLAMINE,-76.43333894,-76.43011708, job_114 ,CCCNCCC,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",3.9389367438945184,-2.8870372519486143
PROPYL ETHANOATE,-76.4334237,-76.43011843, job_160 ,CCCOC(=O)C,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",3.9380896067502245,-2.886416344162553
BROMOETHANE,-76.43342523,-76.43013652, job_70 ,CCBr,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",3.926737968932858,-2.8780961797678946
2-BROMOPROPANE,-76.43347941,-76.430192, job_37 ,CC(C)Br,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3",3.891923769612651,-2.8525791692472264
METHYL PROPANOATE,-76.43349696,-76.43019606, job_140 ,CCC(=O)OC,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",3.8893760830758732,-2.8507118465618935
ETHYL ETHANOATE,-76.43352001,-76.43021869, job_118 ,CCOC(=O)C,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",3.8751755544035595,-2.840303592268935
"1,2-DIBROMOETHANE",-76.43343044,-76.43022575, job_4 ,C(CBr)Br,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,3.870745340862617,-2.8370564744911198
BROMOFORM,-76.43361772,-76.43027631, job_71 ,C(Br)(Br)Br,InChI=1S/CHBr3/c2-1(3)4/h1H,3.8390184858281695,-2.8138023279213376
